+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Wed Jun 10 22:11:26 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go_v2 in MAL1)                             |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 123| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     81.99|  0.02|
| 124| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    107.60|  0.03|
| 125| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     98.00|  0.02|
| 126| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     97.75|  0.02|
| 127| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     96.27|  0.02|
| 128| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     95.54|  0.02|
| 129| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.89|  0.02|
| 130| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     99.97|  0.02|
| 131| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    103.66|  0.02|
| 132| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    101.94|  0.02|
| 133| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     99.23|  0.02|
| 134| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    101.69|  0.02|
| 135| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    106.62|  0.03|
| 136| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    105.63|  0.03|
| 137| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    103.91|  0.02|
| 138| . . . . . . . . . . . . . . . . . . . . . . . . . . .|     97.26|  0.02|
| 139| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.89|  0.02|
| 140| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    108.83|  0.03|
| 141| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    102.43|  0.02|
| 142| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.89|  0.02|
| 143| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    112.03|  0.03|
| 144| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    107.60|  0.03|
| 145| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    106.37|  0.03|
| 146| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    107.11|  0.03|
| 147| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    106.62|  0.03|
| 148| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    112.77|  0.03|
| 149| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    113.51|  0.03|
| 150| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    108.83|  0.03|
| 151| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.57|  0.03|
| 152| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.82|  0.03|
| 153| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    114.49|  0.03|
| 154| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.94|  0.03|
| 155| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    118.19|  0.03|
| 156| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    106.86|  0.03|
| 157| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    114.74|  0.03|
| 158| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    116.96|  0.03|
| 159| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    121.39|  0.03|
| 160| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    123.11|  0.03|
| 161| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.94|  0.03|
| 162| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.45|  0.03|
| 163| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    116.71|  0.03|
| 164| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    127.05|  0.03|
| 165| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    126.31|  0.03|
| 166| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.70|  0.03|
| 167| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    119.17|  0.03|
| 168| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    129.27|  0.03|
| 169| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    130.01|  0.03|
| 170| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    129.76|  0.03|
| 171| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    121.39|  0.03|
| 172| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.90|  0.03|
| 173| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    122.37|  0.03|
| 174| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    132.96|  0.03|
| 175| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    133.95|  0.03|
| 176| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    126.31|  0.03|
| 177| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    130.01|  0.03|
| 178| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    134.44|  0.03|
| 179| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    128.78|  0.03|
| 180| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    132.47|  0.03|
| 181| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    134.44|  0.03|
| 182| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.16|  0.03|
| 183| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    130.01|  0.03|
| 184| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.46|  0.04|
| 185| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    135.92|  0.03|
| 186| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    125.82|  0.03|
| 187| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.16|  0.03|
| 188| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.16|  0.03|
| 189| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.98|  0.04|
| 190| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    139.12|  0.03|
| 191| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    135.67|  0.03|
| 192| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    138.62|  0.03|
| 193| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    138.13|  0.03|
| 194| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.47|  0.04|
| 195| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    139.12|  0.03|
| 196| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    143.55|  0.03|
| 197| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    139.36|  0.03|
| 198| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.44|  0.04|
| 199| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    143.06|  0.03|
| 200| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    137.39|  0.03|
| 201| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.49|  0.04|
| 202| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    143.80|  0.03|
| 203| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.37|  0.04|
| 204| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    141.33|  0.03|
| 205| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    146.75|  0.03|
| 206| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    143.06|  0.03|
| 207| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.90|  0.03|
| 208| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.85|  0.04|
| 209| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.46|  0.04|
| 210| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.92|  0.04|
| 211| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    144.53|  0.03|
| 212| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.47|  0.04|
| 213| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.06|  0.04|
| 214| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    146.75|  0.03|
| 215| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.57|  0.04|
| 216| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.18|  0.04|
| 217| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    144.29|  0.03|
| 218| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    162.75|  0.04|
| 219| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.85|  0.04|
| 220| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.12|  0.04|
| 221| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.38|  0.04|
| 222| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.06|  0.04|
| 223| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.63|  0.04|
| 224| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.44|  0.04|
| 225| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.40|  0.04|
| 226| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.46|  0.04|
| 227| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.94|  0.04|
| 228| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    164.97|  0.04|
| 229| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.11|  0.04|
| 230| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.70|  0.04|
| 231| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.94|  0.04|
| 232| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.38|  0.04|
| 233| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.49|  0.04|
| 234| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.64|  0.04|
| 235| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.64|  0.04|
| 236| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.88|  0.04|
| 237| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.24|  0.04|
| 238| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.64|  0.04|
| 239| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    145.03|  0.03|
| 240| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    159.80|  0.04|
| 241| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    144.04|  0.03|
| 242| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    162.26|  0.04|
