+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: MAL1                                       Thu Apr 16 19:16:46 2020|
|-----------------------------------------------------------------------------|
|          north: 8998072.01423559    east: 887355.39069059                   |
|REGION    south: 8072639.36201714    west: 432826.53844818                   |
|          res:       496.21053738    res:     496.21053738                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__mwi_go in MAL1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 124| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    114.49|  0.03|
| 125| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    108.34|  0.03|
| 126| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    101.94|  0.02|
| 127| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    107.60|  0.03|
| 128| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    104.65|  0.02|
| 129| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    112.77|  0.03|
| 130| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    110.80|  0.03|
| 131| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.08|  0.03|
| 132| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    114.99|  0.03|
| 133| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.08|  0.03|
| 134| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.82|  0.03|
| 135| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    113.02|  0.03|
| 136| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    108.59|  0.03|
| 137| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.70|  0.03|
| 138| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    101.94|  0.02|
| 139| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    116.22|  0.03|
| 140| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    112.77|  0.03|
| 141| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    106.86|  0.03|
| 142| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.82|  0.03|
| 143| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    121.14|  0.03|
| 144| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    110.31|  0.03|
| 145| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    113.51|  0.03|
| 146| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    110.80|  0.03|
| 147| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    112.03|  0.03|
| 148| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    119.67|  0.03|
| 149| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    118.19|  0.03|
| 150| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    112.03|  0.03|
| 151| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    113.26|  0.03|
| 152| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    113.51|  0.03|
| 153| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    120.90|  0.03|
| 154| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    119.17|  0.03|
| 155| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    120.16|  0.03|
| 156| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    109.82|  0.03|
| 157| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.20|  0.03|
| 158| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    122.13|  0.03|
| 159| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    118.68|  0.03|
| 160| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    128.53|  0.03|
| 161| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    123.11|  0.03|
| 162| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    120.40|  0.03|
| 163| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    117.94|  0.03|
| 164| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    126.81|  0.03|
| 165| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    129.27|  0.03|
| 166| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    122.62|  0.03|
| 167| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    124.84|  0.03|
| 168| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.90|  0.03|
| 169| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    129.51|  0.03|
| 170| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    129.27|  0.03|
| 171| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    127.79|  0.03|
| 172| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    136.65|  0.03|
| 173| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    130.01|  0.03|
| 174| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    133.95|  0.03|
| 175| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    141.09|  0.03|
| 176| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    129.51|  0.03|
| 177| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    131.98|  0.03|
| 178| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    140.59|  0.03|
| 179| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    134.69|  0.03|
| 180| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.00|  0.03|
| 181| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    133.70|  0.03|
| 182| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    141.58|  0.03|
| 183| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    140.35|  0.03|
| 184| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    151.92|  0.04|
| 185| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    144.78|  0.03|
| 186| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    135.67|  0.03|
| 187| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    143.30|  0.03|
| 188| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    144.04|  0.03|
| 189| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.15|  0.04|
| 190| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.23|  0.04|
| 191| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    141.33|  0.03|
| 192| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    149.21|  0.04|
| 193| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    145.27|  0.03|
| 194| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.44|  0.04|
| 195| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.72|  0.04|
| 196| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.20|  0.04|
| 197| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    143.80|  0.03|
| 198| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.88|  0.04|
| 199| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.49|  0.04|
| 200| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.20|  0.04|
| 201| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    150.69|  0.04|
| 202| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.23|  0.04|
| 203| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.85|  0.04|
| 204| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.88|  0.04|
| 205| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    152.41|  0.04|
| 206| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    148.47|  0.04|
| 207| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    147.00|  0.03|
| 208| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    155.61|  0.04|
| 209| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.52|  0.04|
| 210| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    153.15|  0.04|
| 211| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.63|  0.04|
| 212| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    154.14|  0.04|
| 213| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.82|  0.04|
| 214| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.78|  0.04|
| 215| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    158.08|  0.04|
| 216| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    161.28|  0.04|
| 217| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    145.52|  0.03|
| 218| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    164.23|  0.04|
| 219| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    164.48|  0.04|
| 220| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.60|  0.04|
| 221| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    163.49|  0.04|
| 222| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    160.54|  0.04|
| 223| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.60|  0.04|
| 224| . . . . . . . . . . . . . . . . . . . . . . . . . . .|    156.35|  0.04|
