+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Apr 16 19:21:55 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go in RWA1)                                |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
|134| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    42.196|  0.09|
|135| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    44.443|  0.10|
|136| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    40.198|  0.09|
|137| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    39.949|  0.09|
|138| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    29.962|  0.07|
|139| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    47.190|  0.10|
|140| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    35.205|  0.08|
|141| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    33.956|  0.07|
|142| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    30.711|  0.07|
|143| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    32.958|  0.07|
|144| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    39.449|  0.09|
|145| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    31.709|  0.07|
|146| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    33.956|  0.07|
|147| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.968|  0.06|
|148| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    31.709|  0.07|
|149| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    28.214|  0.06|
|150| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    31.210|  0.07|
|151| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    27.215|  0.06|
|152| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.968|  0.06|
|153| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    30.711|  0.07|
|154| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    22.222|  0.05|
|155| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    20.723|  0.05|
|156| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    25.467|  0.06|
|157| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    25.218|  0.06|
|158| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    23.969|  0.05|
|159| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    21.722|  0.05|
|160| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    22.971|  0.05|
|161| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    23.470|  0.05|
|162| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    19.475|  0.04|
|163| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    20.723|  0.05|
|164| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    20.474|  0.05|
|165| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.480|  0.03|
|166| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.476|  0.04|
|167| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    19.974|  0.04|
|168| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.726|  0.04|
|169| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.980|  0.04|
|170| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    17.977|  0.04|
|171| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.227|  0.04|
|172| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    17.478|  0.04|
|173| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    17.228|  0.04|
|174| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.480|  0.03|
|175| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    16.479|  0.04|
|176| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.980|  0.04|
|177| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.230|  0.03|
|178| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    14.981|  0.03|
|179| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.485|  0.03|
|180| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.230|  0.03|
|181| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.230|  0.03|
|182| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.983|  0.03|
|183| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.730|  0.03|
|184| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    13.483|  0.03|
|185| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.735|  0.03|
|186| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.983|  0.03|
|187| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.485|  0.03|
|188| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.480|  0.03|
|189| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.986|  0.02|
|190| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.986|  0.02|
|191| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.987|  0.02|
|192| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.234|  0.03|
|193| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.736|  0.02|
|194| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.485|  0.03|
|195| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.487|  0.02|
|196| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.986|  0.02|
|197| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    14.731|  0.03|
|198| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.237|  0.02|
|199| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.489|  0.02|
|200| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.487|  0.02|
|201| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.237|  0.02|
|202| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.738|  0.02|
|203| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.985|  0.03|
|204| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.735|  0.03|
