+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:17 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__gotravtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
|  93| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       587|  0.02|
|  94| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       602|  0.02|
|  95| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       595|  0.02|
|  96| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       587|  0.02|
|  97| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       622|  0.02|
|  98| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       615|  0.02|
|  99| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       621|  0.02|
| 100| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       621|  0.02|
| 101| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       627|  0.02|
| 102| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       648|  0.02|
| 103| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       633|  0.02|
| 104| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       642|  0.02|
| 105| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       639|  0.02|
| 106| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       647|  0.02|
| 107| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       682|  0.02|
| 108| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       672|  0.02|
| 109| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       662|  0.02|
| 110| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       668|  0.02|
| 111| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       655|  0.02|
| 112| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       705|  0.02|
| 113| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       679|  0.02|
| 114| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       693|  0.02|
| 115| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       670|  0.02|
| 116| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       715|  0.02|
| 117| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       705|  0.02|
| 118| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       692|  0.02|
| 119| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       730|  0.02|
| 120| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       700|  0.02|
| 121| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       737|  0.02|
| 122| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       725|  0.02|
| 123| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       727|  0.02|
| 124| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       716|  0.02|
| 125| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       722|  0.02|
| 126| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       726|  0.02|
| 127| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       744|  0.02|
| 128| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       746|  0.02|
| 129| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       750|  0.02|
| 130| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       737|  0.02|
| 131| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       736|  0.02|
| 132| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       764|  0.03|
| 133| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       758|  0.03|
| 134| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       768|  0.03|
| 135| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       775|  0.03|
| 136| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       744|  0.02|
| 137| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       769|  0.03|
| 138| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       783|  0.03|
| 139| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       770|  0.03|
| 140| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       801|  0.03|
| 141| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       762|  0.03|
| 142| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       807|  0.03|
| 143| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       788|  0.03|
| 144| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       786|  0.03|
| 145| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       815|  0.03|
| 146| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       789|  0.03|
| 147| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       839|  0.03|
| 148| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       816|  0.03|
| 149| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       835|  0.03|
| 150| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       817|  0.03|
| 151| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       823|  0.03|
| 152| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       861|  0.03|
| 153| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       819|  0.03|
| 154| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       858|  0.03|
| 155| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       824|  0.03|
| 156| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       844|  0.03|
| 157| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       874|  0.03|
| 158| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       854|  0.03|
| 159| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       845|  0.03|
| 160| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       872|  0.03|
| 161| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       875|  0.03|
| 162| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       889|  0.03|
| 163| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       899|  0.03|
| 164| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       864|  0.03|
| 165| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       897|  0.03|
| 166| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       899|  0.03|
| 167| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       909|  0.03|
| 168| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       920|  0.03|
| 169| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       923|  0.03|
| 170| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       940|  0.03|
| 171| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       930|  0.03|
| 172| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       967|  0.03|
| 173| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       967|  0.03|
| 174| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       946|  0.03|
| 175| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       978|  0.03|
| 176| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       963|  0.03|
| 177| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       997|  0.03|
| 178| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       992|  0.03|
| 179| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       964|  0.03|
| 180| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       994|  0.03|
| 181| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1013|  0.03|
| 182| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1035|  0.03|
| 183| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1028|  0.03|
| 184| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1020|  0.03|
| 185| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1020|  0.03|
| 186| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1040|  0.03|
| 187| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1047|  0.03|
| 188| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1058|  0.04|
| 189| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1046|  0.03|
| 190| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1044|  0.03|
| 191| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1062|  0.04|
| 192| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1073|  0.04|
| 193| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1049|  0.03|
| 194| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1080|  0.04|
| 195| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1060|  0.04|
| 196| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1088|  0.04|
| 197| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1067|  0.04|
| 198| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1097|  0.04|
| 199| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1103|  0.04|
| 200| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1095|  0.04|
| 201| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1110|  0.04|
| 202| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1121|  0.04|
| 203| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1107|  0.04|
| 204| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1143|  0.04|
| 205| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1135|  0.04|
| 206| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1176|  0.04|
| 207| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1131|  0.04|
| 208| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1166|  0.04|
| 209| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1160|  0.04|
| 210| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1187|  0.04|
| 211| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1185|  0.04|
| 212| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1195|  0.04|
| 213| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1207|  0.04|
| 214| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1224|  0.04|
| 215| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1203|  0.04|
| 216| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1243|  0.04|
| 217| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1218|  0.04|
| 218| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1264|  0.04|
| 219| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1261|  0.04|
| 220| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1245|  0.04|
| 221| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1285|  0.04|
| 222| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1259|  0.04|
| 223| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1288|  0.04|
| 224| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1275|  0.04|
| 225| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1281|  0.04|
| 226| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1316|  0.04|
| 227| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1340|  0.04|
| 228| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1306|  0.04|
| 229| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1319|  0.04|
| 230| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1329|  0.04|
| 231| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1338|  0.04|
| 232| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1363|  0.05|
| 233| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1334|  0.04|
| 234| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1357|  0.05|
| 235| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1334|  0.04|
| 236| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1358|  0.05|
| 237| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1362|  0.05|
| 238| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1352|  0.04|
| 239| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1375|  0.05|
| 240| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1334|  0.04|
| 241| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1373|  0.05|
| 242| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1349|  0.04|
| 243| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1385|  0.05|
