+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: RWA1                                       Thu Jun 11 07:23:33 2020|
|-----------------------------------------------------------------------------|
|          north: 9884191.10285493    east: 267001.55683388                   |
|REGION    south: 9685318.51287095    west:  39147.53413866                   |
|          res:       499.67987433    res:     499.67987433                   |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__rwa_go_facs_v2 in RWA1)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|  #|description                                            |kilometers| cover|
|-----------------------------------------------------------------------------|
|125| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    48.937|  0.11|
|126| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    53.432|  0.12|
|127| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    48.937|  0.11|
|128| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    44.443|  0.10|
|129| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    45.442|  0.10|
|130| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    48.188|  0.11|
|131| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    46.690|  0.10|
|132| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    46.191|  0.10|
|133| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    42.695|  0.09|
|134| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    42.196|  0.09|
|135| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    43.694|  0.10|
|136| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    38.700|  0.09|
|137| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    39.449|  0.09|
|138| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    29.962|  0.07|
|139| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    48.937|  0.11|
|140| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    35.954|  0.08|
|141| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    33.956|  0.07|
|142| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    30.960|  0.07|
|143| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    32.958|  0.07|
|144| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    38.700|  0.09|
|145| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    32.458|  0.07|
|146| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    34.206|  0.08|
|147| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    25.218|  0.06|
|148| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    31.210|  0.07|
|149| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    28.713|  0.06|
|150| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    30.461|  0.07|
|151| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    26.716|  0.06|
|152| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.968|  0.06|
|153| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    30.461|  0.07|
|154| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    23.470|  0.05|
|155| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    20.973|  0.05|
|156| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    25.467|  0.06|
|157| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.219|  0.05|
|158| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.219|  0.05|
|159| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    21.722|  0.05|
|160| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    24.219|  0.05|
|161| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    22.971|  0.05|
|162| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.227|  0.04|
|163| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    20.224|  0.04|
|164| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    21.223|  0.05|
|165| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    16.229|  0.04|
|166| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.726|  0.04|
|167| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    19.725|  0.04|
|168| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.476|  0.04|
|169| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    16.978|  0.04|
|170| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    17.727|  0.04|
|171| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    18.227|  0.04|
|172| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    16.978|  0.04|
|173| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.980|  0.04|
|174| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    16.229|  0.04|
|175| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.980|  0.04|
|176| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    16.729|  0.04|
|177| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.730|  0.03|
|178| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    14.981|  0.03|
|179| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.735|  0.03|
|180| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.230|  0.03|
|181| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.480|  0.03|
|182| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    13.233|  0.03|
|183| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.730|  0.03|
|184| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    13.233|  0.03|
|185| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.234|  0.03|
|186| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.734|  0.03|
|187| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.236|  0.02|
|188| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    15.980|  0.04|
|189| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.736|  0.02|
|190| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.236|  0.02|
|191| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.738|  0.02|
|192| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.234|  0.03|
|193| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.986|  0.02|
|194| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.236|  0.02|
|195| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.237|  0.02|
|196| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.986|  0.02|
|197| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    14.481|  0.03|
|198| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.487|  0.02|
|199| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.739|  0.02|
|200| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.986|  0.02|
|201| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.738|  0.02|
|202| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.987|  0.02|
|203| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.985|  0.03|
|204| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    11.485|  0.03|
|205| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.489|  0.02|
|206| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.237|  0.02|
|207| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.488|  0.02|
|208| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.237|  0.02|
|209| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     9.987|  0.02|
|210| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     8.988|  0.02|
|211| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    12.234|  0.03|
|212| . . . . . . . . . . . . . . . . . . . . . . . . . . . |    10.487|  0.02|
|213| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     7.990|  0.02|
|214| . . . . . . . . . . . . . . . . . . . . . . . . . . . |     6.741|  0.01|
