+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Wed Jun 10 22:06:35 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_v2_analysis in KEN2)                    |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|   71| . . . . . . . . . . . . . . . . . . . . . . . . . . |       875|  0.06|
|   72| . . . . . . . . . . . . . . . . . . . . . . . . . . |       911|  0.06|
|   73| . . . . . . . . . . . . . . . . . . . . . . . . . . |       884|  0.06|
|   74| . . . . . . . . . . . . . . . . . . . . . . . . . . |       881|  0.06|
|   75| . . . . . . . . . . . . . . . . . . . . . . . . . . |       874|  0.06|
|   76| . . . . . . . . . . . . . . . . . . . . . . . . . . |       911|  0.06|
|   77| . . . . . . . . . . . . . . . . . . . . . . . . . . |       893|  0.06|
|   78| . . . . . . . . . . . . . . . . . . . . . . . . . . |       874|  0.06|
|   79| . . . . . . . . . . . . . . . . . . . . . . . . . . |       863|  0.06|
|   80| . . . . . . . . . . . . . . . . . . . . . . . . . . |       891|  0.06|
|   81| . . . . . . . . . . . . . . . . . . . . . . . . . . |       884|  0.06|
|   82| . . . . . . . . . . . . . . . . . . . . . . . . . . |       899|  0.06|
|   83| . . . . . . . . . . . . . . . . . . . . . . . . . . |       900|  0.06|
|   84| . . . . . . . . . . . . . . . . . . . . . . . . . . |       870|  0.06|
|   85| . . . . . . . . . . . . . . . . . . . . . . . . . . |       896|  0.06|
|   86| . . . . . . . . . . . . . . . . . . . . . . . . . . |       907|  0.06|
|   87| . . . . . . . . . . . . . . . . . . . . . . . . . . |       903|  0.06|
|   88| . . . . . . . . . . . . . . . . . . . . . . . . . . |       904|  0.06|
|   89| . . . . . . . . . . . . . . . . . . . . . . . . . . |       899|  0.06|
|   90| . . . . . . . . . . . . . . . . . . . . . . . . . . |       879|  0.06|
|   91| . . . . . . . . . . . . . . . . . . . . . . . . . . |       883|  0.06|
|   92| . . . . . . . . . . . . . . . . . . . . . . . . . . |       918|  0.06|
|   93| . . . . . . . . . . . . . . . . . . . . . . . . . . |       893|  0.06|
|   94| . . . . . . . . . . . . . . . . . . . . . . . . . . |       903|  0.06|
|   95| . . . . . . . . . . . . . . . . . . . . . . . . . . |       894|  0.06|
|   96| . . . . . . . . . . . . . . . . . . . . . . . . . . |       904|  0.06|
|   97| . . . . . . . . . . . . . . . . . . . . . . . . . . |       878|  0.06|
|   98| . . . . . . . . . . . . . . . . . . . . . . . . . . |       894|  0.06|
|   99| . . . . . . . . . . . . . . . . . . . . . . . . . . |       902|  0.06|
|  100| . . . . . . . . . . . . . . . . . . . . . . . . . . |       901|  0.06|
|  101| . . . . . . . . . . . . . . . . . . . . . . . . . . |       926|  0.06|
|  102| . . . . . . . . . . . . . . . . . . . . . . . . . . |       915|  0.06|
|  103| . . . . . . . . . . . . . . . . . . . . . . . . . . |       892|  0.06|
|  104| . . . . . . . . . . . . . . . . . . . . . . . . . . |       898|  0.06|
|  105| . . . . . . . . . . . . . . . . . . . . . . . . . . |       900|  0.06|
|  106| . . . . . . . . . . . . . . . . . . . . . . . . . . |       889|  0.06|
|  107| . . . . . . . . . . . . . . . . . . . . . . . . . . |       929|  0.06|
|  108| . . . . . . . . . . . . . . . . . . . . . . . . . . |       914|  0.06|
|  109| . . . . . . . . . . . . . . . . . . . . . . . . . . |       921|  0.06|
|  110| . . . . . . . . . . . . . . . . . . . . . . . . . . |       924|  0.06|
|  111| . . . . . . . . . . . . . . . . . . . . . . . . . . |       913|  0.06|
|  112| . . . . . . . . . . . . . . . . . . . . . . . . . . |       922|  0.06|
|  113| . . . . . . . . . . . . . . . . . . . . . . . . . . |       919|  0.06|
|  114| . . . . . . . . . . . . . . . . . . . . . . . . . . |       944|  0.06|
|  115| . . . . . . . . . . . . . . . . . . . . . . . . . . |       933|  0.06|
|  116| . . . . . . . . . . . . . . . . . . . . . . . . . . |       919|  0.06|
|  117| . . . . . . . . . . . . . . . . . . . . . . . . . . |       937|  0.06|
|  118| . . . . . . . . . . . . . . . . . . . . . . . . . . |       937|  0.06|
|  119| . . . . . . . . . . . . . . . . . . . . . . . . . . |       959|  0.06|
|  120| . . . . . . . . . . . . . . . . . . . . . . . . . . |       957|  0.06|
|  121| . . . . . . . . . . . . . . . . . . . . . . . . . . |       970|  0.07|
|  122| . . . . . . . . . . . . . . . . . . . . . . . . . . |       972|  0.07|
|  123| . . . . . . . . . . . . . . . . . . . . . . . . . . |       968|  0.07|
|  124| . . . . . . . . . . . . . . . . . . . . . . . . . . |       961|  0.06|
|  125| . . . . . . . . . . . . . . . . . . . . . . . . . . |       973|  0.07|
|  126| . . . . . . . . . . . . . . . . . . . . . . . . . . |       981|  0.07|
|  127| . . . . . . . . . . . . . . . . . . . . . . . . . . |       962|  0.07|
|  128| . . . . . . . . . . . . . . . . . . . . . . . . . . |       949|  0.06|
