+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: KEN2                                       Thu Apr 16 19:10:06 2020|
|-----------------------------------------------------------------------------|
|          north: 10674432.43287579    east:  977778.28195199                 |
|REGION    south:  9386262.60103682    west: -169427.68004663                 |
|          res:        499.87187887    res:      499.87187887                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__ken_go_facs in KEN2)                           |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|    #|description                                          |kilometers| cover|
|-----------------------------------------------------------------------------|
|  218| . . . . . . . . . . . . . . . . . . . . . . . . . . |       790|  0.05|
|  219| . . . . . . . . . . . . . . . . . . . . . . . . . . |       794|  0.05|
|  220| . . . . . . . . . . . . . . . . . . . . . . . . . . |       797|  0.05|
|  221| . . . . . . . . . . . . . . . . . . . . . . . . . . |       789|  0.05|
|  222| . . . . . . . . . . . . . . . . . . . . . . . . . . |       787|  0.05|
|  223| . . . . . . . . . . . . . . . . . . . . . . . . . . |       787|  0.05|
|  224| . . . . . . . . . . . . . . . . . . . . . . . . . . |       806|  0.05|
|  225| . . . . . . . . . . . . . . . . . . . . . . . . . . |       807|  0.05|
|  226| . . . . . . . . . . . . . . . . . . . . . . . . . . |       774|  0.05|
|  227| . . . . . . . . . . . . . . . . . . . . . . . . . . |       798|  0.05|
|  228| . . . . . . . . . . . . . . . . . . . . . . . . . . |       802|  0.05|
|  229| . . . . . . . . . . . . . . . . . . . . . . . . . . |       798|  0.05|
|  230| . . . . . . . . . . . . . . . . . . . . . . . . . . |       803|  0.05|
|  231| . . . . . . . . . . . . . . . . . . . . . . . . . . |       789|  0.05|
|  232| . . . . . . . . . . . . . . . . . . . . . . . . . . |       809|  0.05|
|  233| . . . . . . . . . . . . . . . . . . . . . . . . . . |       803|  0.05|
|  234| . . . . . . . . . . . . . . . . . . . . . . . . . . |       800|  0.05|
|  235| . . . . . . . . . . . . . . . . . . . . . . . . . . |       791|  0.05|
|  236| . . . . . . . . . . . . . . . . . . . . . . . . . . |       793|  0.05|
|  237| . . . . . . . . . . . . . . . . . . . . . . . . . . |       788|  0.05|
|  238| . . . . . . . . . . . . . . . . . . . . . . . . . . |       792|  0.05|
|  239| . . . . . . . . . . . . . . . . . . . . . . . . . . |       783|  0.05|
|  240| . . . . . . . . . . . . . . . . . . . . . . . . . . |       789|  0.05|
|  241| . . . . . . . . . . . . . . . . . . . . . . . . . . |       800|  0.05|
|  242| . . . . . . . . . . . . . . . . . . . . . . . . . . |       765|  0.05|
|  243| . . . . . . . . . . . . . . . . . . . . . . . . . . |       774|  0.05|
|  244| . . . . . . . . . . . . . . . . . . . . . . . . . . |       775|  0.05|
|  245| . . . . . . . . . . . . . . . . . . . . . . . . . . |       796|  0.05|
|  246| . . . . . . . . . . . . . . . . . . . . . . . . . . |       783|  0.05|
|  247| . . . . . . . . . . . . . . . . . . . . . . . . . . |       761|  0.05|
|  248| . . . . . . . . . . . . . . . . . . . . . . . . . . |       775|  0.05|
|  249| . . . . . . . . . . . . . . . . . . . . . . . . . . |       765|  0.05|
|  250| . . . . . . . . . . . . . . . . . . . . . . . . . . |       767|  0.05|
|  251| . . . . . . . . . . . . . . . . . . . . . . . . . . |       757|  0.05|
|  252| . . . . . . . . . . . . . . . . . . . . . . . . . . |       763|  0.05|
|  253| . . . . . . . . . . . . . . . . . . . . . . . . . . |       772|  0.05|
|  254| . . . . . . . . . . . . . . . . . . . . . . . . . . |       765|  0.05|
|  255| . . . . . . . . . . . . . . . . . . . . . . . . . . |       752|  0.05|
|  256| . . . . . . . . . . . . . . . . . . . . . . . . . . |       755|  0.05|
|  257| . . . . . . . . . . . . . . . . . . . . . . . . . . |       763|  0.05|
|  258| . . . . . . . . . . . . . . . . . . . . . . . . . . |       731|  0.05|
|  259| . . . . . . . . . . . . . . . . . . . . . . . . . . |       759|  0.05|
|  260| . . . . . . . . . . . . . . . . . . . . . . . . . . |       751|  0.05|
|  261| . . . . . . . . . . . . . . . . . . . . . . . . . . |       774|  0.05|
|  262| . . . . . . . . . . . . . . . . . . . . . . . . . . |       742|  0.05|
|  263| . . . . . . . . . . . . . . . . . . . . . . . . . . |       738|  0.05|
|  264| . . . . . . . . . . . . . . . . . . . . . . . . . . |       738|  0.05|
|  265| . . . . . . . . . . . . . . . . . . . . . . . . . . |       752|  0.05|
|  266| . . . . . . . . . . . . . . . . . . . . . . . . . . |       768|  0.05|
|  267| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  268| . . . . . . . . . . . . . . . . . . . . . . . . . . |       750|  0.05|
|  269| . . . . . . . . . . . . . . . . . . . . . . . . . . |       747|  0.05|
|  270| . . . . . . . . . . . . . . . . . . . . . . . . . . |       750|  0.05|
|  271| . . . . . . . . . . . . . . . . . . . . . . . . . . |       752|  0.05|
|  272| . . . . . . . . . . . . . . . . . . . . . . . . . . |       749|  0.05|
|  273| . . . . . . . . . . . . . . . . . . . . . . . . . . |       742|  0.05|
|  274| . . . . . . . . . . . . . . . . . . . . . . . . . . |       760|  0.05|
|  275| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  276| . . . . . . . . . . . . . . . . . . . . . . . . . . |       737|  0.05|
|  277| . . . . . . . . . . . . . . . . . . . . . . . . . . |       750|  0.05|
|  278| . . . . . . . . . . . . . . . . . . . . . . . . . . |       746|  0.05|
|  279| . . . . . . . . . . . . . . . . . . . . . . . . . . |       736|  0.05|
|  280| . . . . . . . . . . . . . . . . . . . . . . . . . . |       748|  0.05|
|  281| . . . . . . . . . . . . . . . . . . . . . . . . . . |       753|  0.05|
|  282| . . . . . . . . . . . . . . . . . . . . . . . . . . |       732|  0.05|
|  283| . . . . . . . . . . . . . . . . . . . . . . . . . . |       739|  0.05|
|  284| . . . . . . . . . . . . . . . . . . . . . . . . . . |       755|  0.05|
|  285| . . . . . . . . . . . . . . . . . . . . . . . . . . |       726|  0.05|
|  286| . . . . . . . . . . . . . . . . . . . . . . . . . . |       758|  0.05|
|  287| . . . . . . . . . . . . . . . . . . . . . . . . . . |       712|  0.05|
|  288| . . . . . . . . . . . . . . . . . . . . . . . . . . |       749|  0.05|
|  289| . . . . . . . . . . . . . . . . . . . . . . . . . . |       739|  0.05|
|  290| . . . . . . . . . . . . . . . . . . . . . . . . . . |       733|  0.05|
|  291| . . . . . . . . . . . . . . . . . . . . . . . . . . |       754|  0.05|
|  292| . . . . . . . . . . . . . . . . . . . . . . . . . . |       728|  0.05|
|  293| . . . . . . . . . . . . . . . . . . . . . . . . . . |       722|  0.05|
|  294| . . . . . . . . . . . . . . . . . . . . . . . . . . |       734|  0.05|
|  295| . . . . . . . . . . . . . . . . . . . . . . . . . . |       722|  0.05|
|  296| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  297| . . . . . . . . . . . . . . . . . . . . . . . . . . |       701|  0.05|
|  298| . . . . . . . . . . . . . . . . . . . . . . . . . . |       743|  0.05|
|  299| . . . . . . . . . . . . . . . . . . . . . . . . . . |       703|  0.05|
|  300| . . . . . . . . . . . . . . . . . . . . . . . . . . |       718|  0.05|
|  301| . . . . . . . . . . . . . . . . . . . . . . . . . . |       741|  0.05|
|  302| . . . . . . . . . . . . . . . . . . . . . . . . . . |       716|  0.05|
|  303| . . . . . . . . . . . . . . . . . . . . . . . . . . |       716|  0.05|
|  304| . . . . . . . . . . . . . . . . . . . . . . . . . . |       714|  0.05|
|  305| . . . . . . . . . . . . . . . . . . . . . . . . . . |       715|  0.05|
|  306| . . . . . . . . . . . . . . . . . . . . . . . . . . |       715|  0.05|
|  307| . . . . . . . . . . . . . . . . . . . . . . . . . . |       718|  0.05|
|  308| . . . . . . . . . . . . . . . . . . . . . . . . . . |       719|  0.05|
|  309| . . . . . . . . . . . . . . . . . . . . . . . . . . |       707|  0.05|
|  310| . . . . . . . . . . . . . . . . . . . . . . . . . . |       704|  0.05|
|  311| . . . . . . . . . . . . . . . . . . . . . . . . . . |       715|  0.05|
|  312| . . . . . . . . . . . . . . . . . . . . . . . . . . |       726|  0.05|
|  313| . . . . . . . . . . . . . . . . . . . . . . . . . . |       693|  0.05|
|  314| . . . . . . . . . . . . . . . . . . . . . . . . . . |       716|  0.05|
|  315| . . . . . . . . . . . . . . . . . . . . . . . . . . |       713|  0.05|
|  316| . . . . . . . . . . . . . . . . . . . . . . . . . . |       712|  0.05|
|  317| . . . . . . . . . . . . . . . . . . . . . . . . . . |       711|  0.05|
|  318| . . . . . . . . . . . . . . . . . . . . . . . . . . |       710|  0.05|
|  319| . . . . . . . . . . . . . . . . . . . . . . . . . . |       691|  0.05|
|  320| . . . . . . . . . . . . . . . . . . . . . . . . . . |       697|  0.05|
|  321| . . . . . . . . . . . . . . . . . . . . . . . . . . |       718|  0.05|
|  322| . . . . . . . . . . . . . . . . . . . . . . . . . . |       694|  0.05|
|  323| . . . . . . . . . . . . . . . . . . . . . . . . . . |       708|  0.05|
|  324| . . . . . . . . . . . . . . . . . . . . . . . . . . |       692|  0.05|
