+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Thu Apr 16 19:10:51 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_merge in UPDATE_T4)                      |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 197| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1196|  0.08|
| 198| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1159|  0.08|
| 199| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1237|  0.08|
| 200| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1197|  0.08|
| 201| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1192|  0.08|
| 202| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1236|  0.08|
| 203| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1225|  0.08|
| 204| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1246|  0.08|
| 205| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1252|  0.08|
| 206| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1258|  0.08|
| 207| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1268|  0.08|
| 208| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1261|  0.08|
| 209| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1238|  0.08|
| 210| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1241|  0.08|
| 211| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1296|  0.08|
| 212| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1311|  0.09|
| 213| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1269|  0.08|
| 214| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1244|  0.08|
| 215| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1277|  0.08|
| 216| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1321|  0.09|
| 217| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1305|  0.08|
| 218| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1253|  0.08|
| 219| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1261|  0.08|
| 220| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1329|  0.09|
| 221| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1297|  0.08|
| 222| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1287|  0.08|
| 223| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1366|  0.09|
| 224| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1242|  0.08|
| 225| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1266|  0.08|
| 226| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1299|  0.08|
| 227| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1268|  0.08|
| 228| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1297|  0.08|
| 229| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1265|  0.08|
| 230| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1345|  0.09|
| 231| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1257|  0.08|
| 232| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1268|  0.08|
| 233| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1292|  0.08|
| 234| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1277|  0.08|
| 235| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1218|  0.08|
| 236| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1234|  0.08|
| 237| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1191|  0.08|
| 238| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1288|  0.08|
| 239| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1277|  0.08|
| 240| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1246|  0.08|
| 241| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1260|  0.08|
| 242| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1250|  0.08|
| 243| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1245|  0.08|
| 244| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1287|  0.08|
| 245| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1187|  0.08|
| 246| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1194|  0.08|
| 247| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1202|  0.08|
| 248| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1208|  0.08|
