+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: UPDATE_T4                                  Wed Jun 10 22:29:57 2020|
|-----------------------------------------------------------------------------|
|          north: 9903473.48523095    east: 1338069.53726927                  |
|REGION    south: 8684078.08687044    west:   74062.11213946                  |
|          res:       929.41722436    res:      929.41722436                  |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__tz_go_v2 in UPDATE_T4)                         |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 116| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       993|  0.06|
| 117| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       997|  0.06|
| 118| . . . . . . . . . . . . . . . . . . . . . . . . . . .|       999|  0.06|
| 119| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1007|  0.07|
| 120| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1017|  0.07|
| 121| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1018|  0.07|
| 122| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1035|  0.07|
| 123| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1034|  0.07|
| 124| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1071|  0.07|
| 125| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1104|  0.07|
| 126| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1043|  0.07|
| 127| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1051|  0.07|
| 128| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1012|  0.07|
| 129| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1088|  0.07|
| 130| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1095|  0.07|
| 131| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1104|  0.07|
| 132| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1063|  0.07|
