+-----------------------------------------------------------------------------+
|                         RASTER MAP CATEGORY REPORT                          |
|LOCATION: TZA_PROJ                                   Mon Aug 31 23:15:22 2020|
|-----------------------------------------------------------------------------|
|          north: 10173518.20129205    east: 1736562.50629387                 |
|REGION    south:  8571589.79796037    west:  -140368.6154334                 |
|          res:        500.91569835    res:      500.91569835                 |
|-----------------------------------------------------------------------------|
|MASK: none                                                                   |
|-----------------------------------------------------------------------------|
|MAP: (untitled) (rTravelTime__t1travtime in TZA_PROJ)                        |
|-----------------------------------------------------------------------------|
|                   Category Information                    |  square  |   %  |
|   #|description                                           |kilometers| cover|
|-----------------------------------------------------------------------------|
| 106| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2486|  0.08|
| 107| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2446|  0.08|
| 108| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2427|  0.08|
| 109| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2376|  0.08|
| 110| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2384|  0.08|
| 111| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2271|  0.08|
| 112| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2309|  0.08|
| 113| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2249|  0.07|
| 114| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2230|  0.07|
| 115| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2214|  0.07|
| 116| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2159|  0.07|
| 117| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2153|  0.07|
| 118| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2105|  0.07|
| 119| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2095|  0.07|
| 120| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2028|  0.07|
| 121| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      2034|  0.07|
| 122| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1952|  0.06|
| 123| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1992|  0.07|
| 124| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1956|  0.07|
| 125| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1919|  0.06|
| 126| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1895|  0.06|
| 127| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1868|  0.06|
| 128| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1869|  0.06|
| 129| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1833|  0.06|
| 130| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1808|  0.06|
| 131| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1810|  0.06|
| 132| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1726|  0.06|
| 133| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1758|  0.06|
| 134| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1749|  0.06|
| 135| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1742|  0.06|
| 136| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1729|  0.06|
| 137| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1657|  0.06|
| 138| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1670|  0.06|
| 139| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1642|  0.05|
| 140| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1621|  0.05|
| 141| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1624|  0.05|
| 142| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1585|  0.05|
| 143| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1584|  0.05|
| 144| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1541|  0.05|
| 145| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1541|  0.05|
| 146| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1528|  0.05|
| 147| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1511|  0.05|
| 148| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1501|  0.05|
| 149| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1474|  0.05|
| 150| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1476|  0.05|
| 151| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1454|  0.05|
| 152| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1426|  0.05|
| 153| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1441|  0.05|
| 154| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1427|  0.05|
| 155| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1417|  0.05|
| 156| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1356|  0.05|
| 157| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1384|  0.05|
| 158| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1364|  0.05|
| 159| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1337|  0.04|
| 160| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1332|  0.04|
| 161| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1315|  0.04|
| 162| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1302|  0.04|
| 163| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1287|  0.04|
| 164| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1297|  0.04|
| 165| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1271|  0.04|
| 166| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1255|  0.04|
| 167| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1244|  0.04|
| 168| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1250|  0.04|
| 169| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1223|  0.04|
| 170| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1229|  0.04|
| 171| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1221|  0.04|
| 172| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1178|  0.04|
| 173| . . . . . . . . . . . . . . . . . . . . . . . . . . .|      1195|  0.04|
